                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.2837,                0.81385,                 1.1984,                0.84315,                0.71217,                0.75822,                0.43343,                  1.473,                0.83436,                  1.348,              0.0009365,              0.0009365,              0.0009365
                     78,                 1.2671,                0.79725,                 1.1834,                  0.853,                0.68171,                0.75546,                 0.4446,                 1.4654,                0.85844,                 1.3377,             0.00093238,             0.00093238,             0.00093238
                     79,                 1.2318,                0.78961,                 1.1864,                0.92377,                0.65315,                0.77661,                0.45907,                  1.452,                0.79557,                 1.3118,             0.00092825,             0.00092825,             0.00092825
                     80,                 1.2336,                0.76293,                 1.1669,                0.87666,                0.67016,                0.76123,                0.42468,                 1.4893,                0.90508,                 1.3141,             0.00092413,             0.00092413,             0.00092413
                     81,                 1.2458,                0.79991,                 1.1932,                0.89069,                0.63307,                0.77434,                0.44241,                 1.4772,                0.80252,                 1.3252,                0.00092,                0.00092,                0.00092
                     82,                 1.2513,                 0.7696,                 1.1663,                0.85221,                0.69488,                0.75987,                0.44858,                 1.4274,                   0.83,                 1.2863,             0.00091588,             0.00091588,             0.00091588
                     83,                 1.2399,                0.77326,                 1.1717,                0.89823,                0.72496,                0.79619,                0.47044,                 1.3815,                0.75876,                 1.2707,             0.00091175,             0.00091175,             0.00091175
                     84,                 1.2175,                0.75941,                 1.1612,                0.92093,                 0.6889,                0.79203,                0.47459,                 1.3693,                0.77295,                 1.2876,             0.00090763,             0.00090763,             0.00090763
                     85,                 1.2041,                0.74097,                 1.1354,                0.84747,                0.70606,                0.76928,                0.45563,                 1.4378,                0.77458,                 1.3121,              0.0009035,              0.0009035,              0.0009035
                     86,                 1.2057,                0.75257,                 1.1404,                0.90599,                0.69554,                0.79373,                0.45681,                  1.432,                0.79789,                 1.2926,             0.00089938,             0.00089938,             0.00089938
                     87,                 1.2181,                0.77605,                 1.1699,                  0.934,                0.65479,                0.78825,                0.46196,                 1.4455,                0.79942,                 1.3131,             0.00089525,             0.00089525,             0.00089525
